"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENST00000411987.5",-1.29521504867101,-1.29797680182817,1.96048963055494,0.0091563951756816,0.105921978911198
"ENST00000170447.12",-1.45244356365321,-1.45289727670614,4.74001120241873,9.37819584621809e-09,4.23388448172974e-07
"ENST00000652290.1",0.577885241613082,0.579324360386744,1.59577787249296,0.352375573682955,0.964387998831741
"ENST00000311417.7",0.99531299987262,0.99534492033085,7.895719558366,4.12127079546601e-08,1.67691268911676e-06
"ENST00000432729.5",1.23757758196551,1.23819882591384,4.00348529950972,0.000386136637897315,0.00728634434055153
"ENST00000414084.1",0.160766494353423,0.161228791581391,1.37781953621604,0.77736190879617,1
"ENST00000523430.5",1.09828459718435,1.10196631129541,1.2877239961481,0.537299839162775,1
"ENST00000265896.10",0.562566746114923,0.562621805371721,6.20618983945573,0.30693328562228,0.924654623306567
"ENST00000366794.10",-2.76319672005621,-2.76378739464147,5.83866878545363,2.01156357304978e-30,5.49341968654833e-28
"ENST00000678144.1",0.495754346786986,0.497949222768972,0.789813451492157,0.815743738217438,1
"ENST00000376509.4",-0.0744233453132827,-0.0746825185659495,1.06548585567356,0.897145414820161,1
"ENST00000710360.1",-0.0744233453132827,-0.0746825185659495,1.06548585567356,0.897145414820161,1
"ENST00000392552.7",-0.0351216071199799,-0.0351793652097944,1.82954850361903,0.956088977579103,1
"ENST00000392551.6",-0.239819572725193,-0.240446859007579,1.4678228905943,0.71073083107523,1
"ENST00000295500.8",-1.37917959510929,-1.38277461493287,1.70545088216349,0.00827543222548404,0.0976504645437098
"ENST00000468823.2",0.39408913246592,0.395760370873182,0.86845493847103,0.587602126573004,1
"ENST00000218516.4",1.44068584168448,1.44103043064816,5.12432171601627,2.61885652904366e-12,1.98595876548295e-10
"ENST00000479445.2",0.709072750269103,0.713053436030182,0.494406623377439,0.238731427875083,0.844006892258872
"ENST00000675968.1",1.9606505748392,1.97302099101541,0.674427430596384,0.00199290412636849,0.0304957491513121
"ENST00000263967.4",0.865635600446114,0.865824910293527,5.10077218435962,0.00289057042925158,0.0414384919263347
"ENST00000643187.1",0.632445116520679,0.632659755412411,4.42567650291876,0.192935905643405,0.771708949933554
"ENST00000675786.1",0.574932577952241,0.575412966444085,3.14939027439055,0.331909276412836,0.949086748080726
"ENST00000674622.1",0.770964666053115,0.772676841498666,1.78301504481819,0.401475625919132,0.995637427785195
"ENST00000703646.1",0.0222175372803113,0.022251361735703,2.15813597902546,0.969187495509197,1
"ENST00000316052.6",0.423756828434521,0.423977112520846,3.80068466175753,0.486477026327878,1
"ENST00000700470.1",4.39652089008171,4.43919514017028,1.44394568613354,0.00705364626671849,0.0858191136863283
"ENST00000252211.7",0.3986513465555,0.399660846048152,1.58890766294484,0.523619919886638,1
"ENST00000341464.9",-0.373862435405123,-0.376025395149596,0.430253555794228,0.571757640818444,1
"ENST00000254250.7",0.236131209546844,0.236288272289769,3.44789265053987,0.740182281146164,1
"ENST00000345117.2",-0.0993308535363532,-0.100542199998012,-0.434566111838769,0.957922618602852,1
"ENST00000534961.5",-0.334471207315428,-0.335140995812538,1.87259258335184,0.590814260842156,1
"ENST00000527424.6",0.141143520016728,0.141243851355439,3.34184515173597,0.8233919145507,1
"ENST00000319073.5",0.149883225095788,0.150261770746019,1.54544415586259,0.80208952772006,1
"ENST00000528318.5",0.598426313948089,0.605942688108244,-0.478344376551113,0.448601078397359,1
"ENST00000426898.2",0.561649047320835,0.562857978192195,1.81256449747268,0.342780834322819,0.956942747192036
"ENST00000423947.7",0.00260854982919814,0.00261007932012061,4.34227520111889,0.996379960377468,1
"ENST00000320560.13",0.448427180432546,0.448460885085245,6.57410931710913,0.631173529720776,1
"ENST00000681817.1",0.222346487205429,0.222393826869117,5.06710457609368,0.682309661191154,1
"ENST00000344450.9",-0.198827177821147,-0.199550412948315,1.06363609791149,0.727142531825007,1
"ENST00000419235.7",-0.00374504031848306,-0.00374712222602908,2.85774942043394,0.995291103977886,1
"ENST00000333119.8",-0.0533962601391445,-0.0534131518148719,4.49490901157636,0.998081228695041,1
"ENST00000335890.3",0.291815244912679,0.292283047929476,2.1858182022853,0.591913735614064,1
"ENST00000485641.5",1.15332097181788,1.16804190525907,-0.472293480969333,0.334099022524304,0.950997196743506
"ENST00000456863.6",0.375913173382069,0.378465479985827,0.197309085251431,0.607205768829802,1
"ENST00000625065.4",0.851631044131404,0.858729075000895,0.0237137773178632,0.154597513650574,0.693375689938704
"ENST00000676972.1",0.0622974942641435,0.0623041704894699,6.0153291628905,0.999999324891613,1
"ENST00000527306.1",-0.122961050288871,-0.123817044372396,0.192243422268978,0.853199557956965,1
"ENST00000533539.2",0.0365515380397229,0.0365771622952046,3.40143508348069,0.966028828760213,1
"ENST00000307602.9",-0.182576294355238,-0.182597655126965,5.92308749744429,0.972799784705944,1
"ENST00000597275.5",0.950333830793847,0.963287470192093,-0.551266256332776,0.143947006634404,0.669906644362141
"ENST00000526683.6",-1.8169279817634,-1.81780674293326,4.2434650626562,0.000183797593580435,0.00377204521928975
"ENST00000453551.6",2.06491583415247,2.06989581068886,2.0576712562042,0.24755362722221,0.855756688788019
"ENST00000313352.11",-1.36279247129865,-1.36573885486533,1.95832995221355,0.336945787502497,0.952966165173806
"ENST00000456095.6",1.18674933627465,1.18713029698774,4.62163008014644,0.0534998702048582,0.377659821984216
"ENST00000349157.10",0.125896744320476,0.125924624754693,4.97592662344018,0.852524792902637,1
"ENST00000526151.6",0.332322478033394,0.333017916937238,1.79083060811254,0.554936028195517,1
"ENST00000703846.1",-0.568335891518594,-0.570552519032874,0.969533015363905,0.779581367528758,1
"ENST00000703803.1",0.21731711026368,0.219192373309672,-0.126940115028785,0.913964623342694,1
"ENST00000703847.1",-0.12079867551089,-0.121050127314989,1.87865634709555,0.864901286183201,1
"ENST00000531951.6",-1.17485831936989,-1.18834513084032,-0.347281461875069,0.64752302373489,1
"ENST00000533362.2",0.116102646085481,0.116713645632608,0.385053141590894,0.886260449249886,1
"ENST00000527744.6",-1.37818970218236,-1.3800932758484,2.59953753534268,0.139363760295939,0.659891333455315
"ENST00000527197.5",-1.02507032608058,-1.02587071238109,3.31076337311084,0.175220424555443,0.735983069597801
"ENST00000703866.1",0.380840777252437,0.382810817926842,0.578880998995055,0.51221364569233,1
